max_error_column
279
177
234
317
137
143
227
359
74
216
143
114
115
81
272
206
352
160
295
110
361
477
109
135
180
169
163
105
303
353
361
358
116
215
330
137
360
143
307
359
281
330
135
243
136
78
191
189
348
359
242
308
172
105
351
312
135
341
2
503
306
313
80
353
209
143
268
206
135
133
171
226
331
267
287
341
343
267
234
206
159
313
208
268
100
119
341
173
195
92
136
243
253
316
260
333
142
281
366
295
323
334
296
135
332
252
324
315
359
128
132
114
195
234
358
236
169
133
279
245
178
222
234
214
484
135
78
128
145
110
270
135
178
143
116
168
191
172
128
324
116
109
290
357
135
267
352
127
360
152
142
359
269
136
351
343
308
114
8
180
465
118
272
260
91
362
324
249
366
312
179
234
216
476
325
285
313
225
74
351
259
124
135
353
314
226
225
466
352
359
312
150
91
477
179
236
243
153
341
101
168
178
150
359
215
360
217
332
325
90
289
114
353
150
240
353
272
352
78
359
142
225
191
172
236
142
358
341
289
313
215
74
353
307
146
339
137
187
135
232
306
322
125
215
200
351
236
144
351
141
341
232
164
213
495
226
351
207
242
164
215
353
353
359
135
152
249
215
109
260
343
469
278
208
240
359
234
242
136
133
351
359
313
362
352
240
69
359
234
190
236
217
143
351
204
233
7
204
214
314
135
142
213
313
214
312
353
312
240
308
313
351
135
353
351
505
207
241
207
187
306
312
213
423
234
353
214
234
214
135
358
137
235
207
214
7
295
307
234
216
142
353
313
214
46
137
213
477
314
314
312
241
225
208
142
207
136
240
352
240
313
307
135
207
352
142
307
209
312
242
236
353
143
313
353
252
234
352
133
235
215
234
209
352
137
240
313
227
307
134
312
353
143
234
143
207
306
215
241
207
352
242
241
306
447
215
141
313
215
358
142
359
502
313
252
358
353
137
313
136
353
180
180
127
236
224
313
143
242
352
240
207
502
276
142
209
312
359
486
236
236
351
447
359
351
357
503
135
182
312
137
307
312
312
352
359
234
314
357
405
70
141
242
352
314
191
353
213
242
307
353
236
200
477
231
187
8
182
143
216
227
353
209
235
207
235
306
240
314
199
143
441
236
227
236
307
143
227
188
0
186
242
136
128
358
142
485
308
186
241
69
6
135
313
242
141
313
143
141
135
353
359
236
141
357
352
213
234
359
492
235
358
290
226
143
242
215
313
215
477
215
331
207
312
272
314
497
214
142
135
353
312
215
306
235
241
141
135
127
242
306
497
351
314
241
234
213
142
190
306
235
312
215
208
6
312
351
136
352
351
214
136
312
227
312
242
312
143
358
241
234
358
353
143
236
353
215
142
313
314
240
227
307
126
352
182
312
250
441
135
359
188
351
296
188
234
236
213
180
73
312
234
235
353
519
242
240
