call_path,frequency,frequency_percentage,mean_duration,max_duration,p50_duration,p90_duration,p95_duration,p99_duration
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] write_home_timeline_client->[home-timeline-service] write_home_timeline_server->[home-timeline-service] get_followers_client->[social-graph-service] get_followers_server->[social-graph-service] social_graph_redis_get_client,9131,91.31,355.7566531595663,3954.0,293.0,594.0,639.0,741.7000000000007
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] write_home_timeline_client->[home-timeline-service] write_home_timeline_server->[home-timeline-service] get_followers_client->[social-graph-service] get_followers_server->[social-graph-service] social_graph_mongo_find_client,9131,91.31,786.1762129011062,3068.0,895.0,1184.0,1261.0,1371.0
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_text_client->[text-service] compose_text_server,8799,87.99,2923.5446073417434,14552.0,2787.0,4342.0,4626.1,5148.140000000003
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_text_client->[text-service] compose_text_server->[text-service] compose_urls_client,8799,87.99,1523.3740197749744,6589.0,1416.0,2366.0,2573.1000000000004,3210.0
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_text_client->[text-service] compose_text_server->[text-service] compose_user_mentions_client,8799,87.99,2144.7114444823274,14039.0,2028.0,3211.0,3461.0,3894.0200000000004
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_text_client->[text-service] compose_text_server->[text-service] compose_user_mentions_client->[user-mention-service] compose_user_mentions_server,8743,87.42999999999999,1665.24579663731,9923.0,1539.0,2546.8,2748.8999999999996,3064.16
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_text_client->[text-service] compose_text_server->[text-service] compose_user_mentions_client->[user-mention-service] compose_user_mentions_server->[user-mention-service] compose_user_mentions_memcached_get_client,8743,87.42999999999999,815.6875214457281,4896.0,683.0,1292.0,1375.0,1543.0
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_text_client->[text-service] compose_text_server->[text-service] compose_user_mentions_client->[user-mention-service] compose_user_mentions_server->[user-mention-service] compose_user_mentions_mongo_find_client,8743,87.42999999999999,749.443326089443,5394.0,671.0,1177.0,1270.0,1414.0
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_unique_id_client->[unique-id-service] compose_unique_id_server,8724,87.24,71.51673544245759,389.0,61.0,131.0,142.0,166.0
[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] /wrk2-api/post/compose->[nginx-web-server] compose_post_client->[compose-post-service] compose_post_server->[compose-post-service] compose_text_client->[text-service] compose_text_server->[text-service] compose_urls_client->[url-shorten-service] compose_urls_server,8719,87.19,1045.283977520358,4427.0,1002.0,1668.0,1834.0,2186.0
